link,gender,height,weight,firstAppearance,firstAppearanceDate,yearFirstAppeared,heightInInches,weightInPounds,name,universe,publisher,weightCategory,appearanceRaw,appearances,minorAppearances,picLink,superName,fullName,nickName
http://marvel.wikia.com/wiki/Doreen_Green_(Earth-12131),Female,"5' 3""",100 lbs (45 kg),"Marvel: Avengers Alliance(March 1, 2012)",1-Mar-12,2012,63,100,Doreen Green,Earth-12131,Marvel,under,"[' 5 Appearances of Doreen Green (Earth-12131)\n', '  Minor Appearances of Doreen Green (Earth-12131)\n']",5,0,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2a/Doreen_Green_and_Tippy-Toe_%28Earth-12131%29_from_Marvel_Avengers_Alliance_0001.png/revision/latest?cb=20130829225817,Squirrel Girl,Doreen Green,
http://marvel.wikia.com/wiki/Doreen_Green_(Earth-61112),Female,"5' 3""",100 lbs (45 kg),"Age of Ultron  #2(May, 2013)","May, 2013",2013,63,100,Doreen Green,Earth-61112,Marvel,under,"['  Appearances of Doreen Green (Earth-61112)\n', ' 2 Minor Appearances of Doreen Green (Earth-61112)\n']",0,2,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Doreen_Green_%28Earth-61112%29.jpg/revision/latest?cb=20130710122634,Squirrel Girl,Doreen Green,
http://marvel.wikia.com/wiki/Doreen_Green_(Earth-TRN012),Female,"5' 3""",100 lbs (45 kg),"Marvel Future Fight(April 30, 2015)",30-Apr-15,2015,63,100,Doreen Green,Earth-TRN012,Marvel,under,"[' 1 Appearances of Doreen Green (Earth-TRN012)\n', '  Minor Appearances of Doreen Green (Earth-TRN012)\n']",1,0,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a1/Doreen_Green_%28Earth-TRN012%29_from_Marvel_Future_Fight_001.jpg/revision/latest?cb=20160817033221,Squirrel Girl,Doreen Allene Green,
http://marvel.wikia.com/wiki/Flavius_Scollio_(Earth-616),Male,"6' 4""",100 lbs (45 kg),"Fantastic Four  #241(April, 1982)","April, 1982",1982,76,100,Flavius Scollio,Earth-616,Marvel,under,"[' 2 Appearances of Flavius Scollio (Earth-616)\n', '  Minor Appearances of Flavius Scollio (Earth-616)\n']",2,0,https://vignette.wikia.nocookie.net/marveldatabase/images/f/fc/Flavius_Scollio_%28Earth-616%29_from_Fantastic_Four_Vol_1_241.jpg/revision/latest?cb=20151009215144,Gaius Tiberius Augustus Agrippa,Flavius Scollio,
http://marvel.wikia.com/wiki/Joan_the_Mouse_(Earth-616),Female,"5' 4""",100 lbs (45 kg),"Punisher Vol 5  #1(April, 2000)","April, 2000",2000,64,100,Joan the Mouse,Earth-616,Marvel,under,"[' 11 Appearances of Joan the Mouse (Earth-616)\n', '  Minor Appearances of Joan the Mouse (Earth-616)\n']",11,0,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2d/Joan_the_Mouse_%28Earth-616%29.jpg/revision/latest?cb=20070921180645,Joan the Mouse,Joan ,
http://marvel.wikia.com/wiki/Katherine_Pryde_(Earth-1610),Female,"5' 5"" (Variable)",100 lbs (45 kg) (Variable),"Ultimate X-Men  #21(October, 2002)","October, 2002",2002,65,100,Katherine Pryde,Earth-1610,Marvel,under,"[' 177 Appearances of Katherine Pryde (Earth-1610)\n', ' 4 Minor Appearances of Katherine Pryde (Earth-1610)\n']",177,4,https://vignette.wikia.nocookie.net/marveldatabase/images/7/71/Katherine_Pryde_%28Earth-1610%29_011.jpg/revision/latest?cb=20120614020658,Kitty Pryde,Katherine Pryde,
http://marvel.wikia.com/wiki/Kathy_Malper_(Earth-616),Female,"5' 8""",100 lbs (45 kg),"Daredevil  #299(December, 1991)","December, 1991",1991,68,100,Kathy Malper,Earth-616,Marvel,under,"[' 13 Appearances of Kathy Malper (Earth-616)\n', '  Minor Appearances of Kathy Malper (Earth-616)\n']",13,0,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d7/Kathy_Malper_%28Earth-616%29_from_Daredevil_Vol_1_300_0001.jpg/revision/latest?cb=20160824232401,Kathy Malper,Kathy Malper,
http://marvel.wikia.com/wiki/Kevin_Green_(Earth-93060),Male,"5' 4"" (Kevin);7'6"" Variable (Prime)",100 lbs (45 kg) (Kevin);700 lbs (375 kg) (Prime),"Prime  #1(June, 1993)","June, 1993",1993,64,100,Kevin Green,Earth-93060,Marvel,under,"[' 134 Appearances of Kevin Green (Earth-93060)\n', ' 3 Minor Appearances of Kevin Green (Earth-93060)\n']",134,3,https://vignette.wikia.nocookie.net/marveldatabase/images/0/04/Prime_Vol_1_1.jpg/revision/latest?cb=20070606014753,Prime,Kevin Green,
http://marvel.wikia.com/wiki/Kevin_Green_(Earth-TRN161),Male,"5' 4"" (Kevin);7'6"" Variable (Prime)",100 lbs (45 kg) (Kevin);700 lbs (375 kg) (Prime),"Prime/Captain America  #1(March, 1996)","March, 1996",1996,64,100,Kevin Green,Earth-TRN161,Marvel,under,"[' 1 Appearances of Kevin Green (Earth-TRN161)\n', '  Minor Appearances of Kevin Green (Earth-TRN161)\n']",1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkgipcc8bDiClDGiYliRQFyA2nJQwnwKYpOWvSFlb1tZzGdMq-uKOXB0o,Prime,Kevin Green,
http://marvel.wikia.com/wiki/Mana_Yanowa_(Earth-616),Female,"5' 2""",100 lbs (45 kg),"Wolverine Soultaker  #2(May, 2005)","May, 2005",2005,62,100,Mana Yanowa,Earth-616,Marvel,under,"[' 6 Appearances of Mana Yanowa (Earth-616)\n', ' 1 Minor Appearances of Mana Yanowa (Earth-616)\n']",6,1,https://vignette.wikia.nocookie.net/marveldatabase/images/7/7e/Mana_Yanowa_%28Earth-616%29_from_Wolverine_Weapon_X_Files_Vol_1_1_001.jpg/revision/latest?cb=20160610220707,Mana,Mana Yanowa,
http://marvel.wikia.com/wiki/Marandi_Sjorokker_(Earth-616),Female,"5' 0""",100 lbs (45 kg),"Marvel Graphic Novel  #22(August, 1986)","August, 1986",1986,60,100,Marandi Sjorokker,Earth-616,Marvel,normal,"[' 5 Appearances of Marandi Sjorokker (Earth-616)\n', '  Minor Appearances of Marandi Sjorokker (Earth-616)\n']",5,0,https://vignette.wikia.nocookie.net/marveldatabase/images/d/d7/Marandi_Sjorokker_%28Earth-616%29_from_Marvel_Legacy_The_1980%27s_Handbook_Vol_1_1_0001.jpg/revision/latest?cb=20160706224646,Spindrifter,Marandi Sjorokker,
http://marvel.wikia.com/wiki/Mariko_Yashida_(Earth-616),Female,"5' 0""",100 lbs (45 kg),"X-Men  #118(February, 1979) (As Mariko Yashida)Old Man Logan Vol 2  #31(January, 2018)(As Scarlet Samurai)","January, 2018",2018,60,100,Mariko Yashida,Earth-616,Marvel,normal,"[' 64 Appearances of Mariko Yashida (Earth-616)\n', ' 26 Minor Appearances of Mariko Yashida (Earth-616)\n']",64,26,https://vignette.wikia.nocookie.net/marveldatabase/images/1/16/Old_Man_Logan_Vol_2_31_Textless.jpg/revision/latest?cb=20170829084403,Scarlet Samurai,Mariko Yashida,
http://marvel.wikia.com/wiki/Megan_Daemon_(Earth-616),Female,"5' 4""",100 lbs (45 kg),"Bizarre Adventures  #25(March, 1981)","March, 1981",1981,64,100,Megan Daemon,Earth-616,Marvel,under,"[' 4 Appearances of Megan Daemon (Earth-616)\n', '  Minor Appearances of Megan Daemon (Earth-616)\n']",4,0,https://vignette.wikia.nocookie.net/marveldatabase/images/3/3e/Megan_Daemon_%28Earth-616%29_from_Marvel_Legacy_The_1980%27s_Handbook_Vol_1_1_0001.jpg/revision/latest?cb=20080203152320,Lady Daemon,Megan Daemon,
http://marvel.wikia.com/wiki/Pandora_Destine_(Earth-616),Female,"5' 0""",100 lbs (45 kg),"Marvel Comics Presents  #158(July, 1994)","July, 1994",1994,60,100,Pandora Destine,Earth-616,Marvel,normal,"[' 17 Appearances of Pandora Destine (Earth-616)\n', '  Minor Appearances of Pandora Destine (Earth-616)\n']",17,0,https://vignette.wikia.nocookie.net/marveldatabase/images/1/19/Pandora_Destine_%28Earth-616%29.jpg/revision/latest?cb=20120614150439,Imp,Pandora Destine,
http://marvel.wikia.com/wiki/Rebecca_Blake_(Earth-616),Female,"5' 4""",100 lbs (45 kg),"Daredevil  #155(November, 1978)","November, 1978",1978,64,100,Rebecca Blake,Earth-616,Marvel,under,"[' 68 Appearances of Rebecca Blake (Earth-616)\n', ' 1 Minor Appearances of Rebecca Blake (Earth-616)\n']",68,1,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c3/Rebecca_Blake_%28Earth-616%29_Daredevil_Vol_1_155.jpg/revision/latest?cb=20141030095813,Becky Blake,Rebecca Blake,
http://marvel.wikia.com/wiki/Rina_Patel_(Earth-616),Female,"5' 4""",100 lbs (45 kg),"New Warriors  #59(May, 1995)","May, 1995",1995,64,100,Rina Patel,Earth-616,Marvel,under,"[' 21 Appearances of Rina Patel (Earth-616)\n', '  Minor Appearances of Rina Patel (Earth-616)\n']",21,0,https://vignette.wikia.nocookie.net/marveldatabase/images/f/fa/Rina_Patel_%28Earth-616%29_from_New_Warriors_Vol_1_64_01.png/revision/latest?cb=20180913011124,Timeslip,Rina Patel,
http://marvel.wikia.com/wiki/Riri_Williams_(Earth-616),Female,"5' 2"" ; 5'9"" (armored)",100 lbs (45 kg) ; 250lbs (armored),"Invincible Iron Man Vol 3  #7(May, 2016) (As Riri Williams)Invincible Iron Man Vol 4  #3(March, 2017)(As Ironheart)","March, 2017",2017,62,100,Riri Williams,Earth-616,Marvel,under,"[' 83 Appearances of Riri Williams (Earth-616)\n', ' 12 Minor Appearances of Riri Williams (Earth-616)\n']",83,12,https://vignette.wikia.nocookie.net/marveldatabase/images/2/22/Ironheart_Vol_1_1_Vecchio_Variant_Textless.jpg/revision/latest?cb=20180824230824,Ironheart,Riri Williams,
http://marvel.wikia.com/wiki/Scintilla_(Earth-616),Female,"5' 1""",100 lbs (45 kg),"X-Men  #107(October, 1977)","October, 1977",1977,61,100,Scintilla,Earth-616,Marvel,normal,"[' 21 Appearances of Scintilla (Earth-616)\n', ' 1 Minor Appearances of Scintilla (Earth-616)\n']",21,1,https://vignette.wikia.nocookie.net/marveldatabase/images/a/ae/Scintilla_%28Earth-616%29_from_Uncanny_X-Men_Vol_1_480_001.jpg/revision/latest?cb=20061130075054,Scintilla,Unknown,
http://marvel.wikia.com/wiki/Tath_Ki_(Earth-616),Male,"5' 0""",100 lbs (45 kg),"Captain America's Bicentennial Battles  #1(June, 1976)","June, 1976",1976,60,100,Tath Ki,Earth-616,Marvel,normal,"[' 38 Appearances of Tath Ki (Earth-616)\n', ' 1 Minor Appearances of Tath Ki (Earth-616)\n']",38,1,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c5/Tath_Ki_%28Earth-616%29_from_Avengers_Assemble_Vol_2_7.jpg/revision/latest?cb=20140223024927,Contemplator,Tath Ki,
http://marvel.wikia.com/wiki/Topaz_(Earth-616),Female,"5' 3""",100 lbs (45 kg),"Werewolf by Night  #13(January, 1974)","January, 1974",1974,63,100,Topaz,Earth-616,Marvel,under,"[' 73 Appearances of Topaz (Earth-616)\n', '  Minor Appearances of Topaz (Earth-616)\n']",73,0,https://vignette.wikia.nocookie.net/marveldatabase/images/3/3c/Topaz_%28Earth-616%29_from_Marvel_War_of_Heroes_001.jpg/revision/latest?cb=20140812003111,Topaz,Unknown,
http://marvel.wikia.com/wiki/Zoe_Culloden_(Earth-616),Female,"5' 7""",100 lbs (45 kg),"Wolverine Vol 2  #79(March, 1994)","March, 1994",1994,67,100,Zoe Culloden,Earth-616,Marvel,under,"[' 36 Appearances of Zoe Culloden (Earth-616)\n', '  Minor Appearances of Zoe Culloden (Earth-616)\n']",36,0,https://vignette.wikia.nocookie.net/marveldatabase/images/6/60/Zoe_Culloden_%28Earth-616%29_from_Deadpool_Corps_Rank_and_Foul_Vol_1_1_0001.png/revision/latest?cb=20170126113338,Expediter,Zoe Culloden (original name unrevealed),
http://marvel.wikia.com/wiki/Benjamin_Grimm_(Earth-121698),Male,"5' 9""",1000 lbs (454 kg),"Fantastic Four (2005 film)(July 8, 2005)",8-Jul-05,2005,69,100,Benjamin Grimm,Earth-121698,Marvel,under,"[' 6 Appearances of Benjamin Grimm (Earth-121698)\n', '  Minor Appearances of Benjamin Grimm (Earth-121698)\n']",6,0,https://vignette.wikia.nocookie.net/marveldatabase/images/9/9f/Benjamin_Grimm_%28Earth-121698%29_from_Fantastic_Four_%28film%29_001.jpg/revision/latest?cb=20070209064535,Thing,Benjamin Grimm,
http://marvel.wikia.com/wiki/John_Proudstar_(Earth-1100),Male,"6' 2""",1000 lbs (454 kg),"Exiles  #1(August, 2001)","August, 2001",2001,74,100,John Proudstar,Earth-1100,Marvel,under,"[' 33 Appearances of John Proudstar (Earth-1100)\n', ' 1 Minor Appearances of John Proudstar (Earth-1100)\n']",33,1,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b2/John_Proudstar_%28Earth-1100%29_from_Exiles_Days_of_Then_and_Now_Vol_1_1_page_00.jpg/revision/latest?cb=20110214044702,Thunderbird,John Proudstar,
http://marvel.wikia.com/wiki/Praxagora_(Earth-616),Female,"5' 4""",1000 lbs (454 kg),"Annihilation: Super-Skrull  #2(July, 2006)","July, 2006",2006,64,100,Praxagora,Earth-616,Marvel,under,"[' 18 Appearances of Praxagora (Earth-616)\n', ' 1 Minor Appearances of Praxagora (Earth-616)\n']",18,1,https://vignette.wikia.nocookie.net/marveldatabase/images/0/0a/Praxagora_%28Earth-616%29_from_Annihilation_Super-Skrull_Vol_1_3_001.jpg/revision/latest?cb=20160918171855,Praxagora,Praxagora,
http://marvel.wikia.com/wiki/Charlotte_Morales-Stacy_(Earth-8),Female,"5' 3""",101 lbs (46 kg),"Spider-Gwen Vol 2  #18(May, 2017)","May, 2017",2017,63,101,Charlotte Morales-Stacy,Earth-8,Marvel,under,"[' 4 Appearances of Charlotte Morales-Stacy (Earth-8)\n', '  Minor Appearances of Charlotte Morales-Stacy (Earth-8)\n']",4,0,https://vignette.wikia.nocookie.net/marveldatabase/images/8/85/Charlotte_Morales-Stacy_%28Earth-8%29_from_Spider-Gwen_Vol_2_18_002.jpg/revision/latest?cb=20170329003031,Spider-Girl,Charlotte Morales-Stacy,
http://marvel.wikia.com/wiki/Dead_Girl_(Moonbeam)_(Earth-616),Female,"5' 8""",101 lbs (46 kg),"X-Force  #125(April, 2002)","April, 2002",2002,68,101,Dead Girl (Moonbeam),Earth-616,Marvel,under,"[' 40 Appearances of Dead Girl (Moonbeam) (Earth-616)\n', '  Minor Appearances of Dead Girl (Moonbeam) (Earth-616)\n']",40,0,https://vignette.wikia.nocookie.net/marveldatabase/images/1/18/X-Statix_Vol_1_12_Textless.jpg/revision/latest?cb=20051107234659,Dead Girl,Moonbeam ,
http://marvel.wikia.com/wiki/Gwendolyne_Stacy_(Clone)_(Earth-1610),Female,"5' 7"" (as Gwen) Variable, (as Carnage)","101 lbs (46 kg) (as Gwen) Variable, (as Carnage)","Ultimate Spider-Man  #98(October, 2006)","October, 2006",2006,67,101,Gwendolyne Stacy (Clone),Earth-1610,Marvel,under,"[' 62 Appearances of Gwendolyne Stacy (Clone) (Earth-1610)\n', '  Minor Appearances of Gwendolyne Stacy (Clone) (Earth-1610)\n']",62,0,https://vignette.wikia.nocookie.net/marveldatabase/images/d/dd/Gwendolyne_Stacy_%28Clone%29_%28Earth-1610%29.png/revision/latest?cb=20130807204457,Gwen Stacy,Gwendolyne Stacy,
http://marvel.wikia.com/wiki/Gwendolyne_Stacy_(Earth-1610),Female,"5' 6""",101 lbs (46 kg),"Ultimate Spider-Man  #14(December, 2001)","December, 2001",2001,66,101,Gwendolyne Stacy,Earth-1610,Marvel,under,"[' 34 Appearances of Gwendolyne Stacy (Earth-1610)\n', ' 1 Minor Appearances of Gwendolyne Stacy (Earth-1610)\n']",34,1,https://vignette.wikia.nocookie.net/marveldatabase/images/a/ab/Gwendolyne_Stacy_%28Earth-1610%29_001.jpg/revision/latest?cb=20110204055044,Gwen Stacy,Gwendolyne Maxine Stacy,
http://marvel.wikia.com/wiki/Margaret_Carter_(Earth-616),Female,"5' 5""",101 lbs (46 kg),"Tales of Suspense  #75(March, 1966) (Unidentified, obscured memory image); Tales of Suspense  #77(May, 1966)(fully seen); Captain America  #162(June, 1973)(identified)","June, 1973",1973,65,101,Margaret Carter,Earth-616,Marvel,under,"[' 104 Appearances of Margaret Carter (Earth-616)\n', ' 4 Minor Appearances of Margaret Carter (Earth-616)\n']",104,4,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e6/Margaret_Carter_%28Earth-616%29_from_Captain_America_America%27s_Avenger_Vol_1_1_001.jpg/revision/latest?cb=20180204064459,Peggy Carter,Margaret Carter,
http://marvel.wikia.com/wiki/Number_Nine_(Earth-616),Female,"5' 8""",101 lbs (46 kg),"Daredevil  #271(October, 1989)","October, 1989",1989,68,101,Number Nine,Earth-616,Marvel,under,"[' 17 Appearances of Number Nine (Earth-616)\n', '  Minor Appearances of Number Nine (Earth-616)\n']",17,0,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b6/Number_Nine_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_Vol_1_8_001.jpg/revision/latest?cb=20061208205129,Number Nine,Unknown,
http://marvel.wikia.com/wiki/Suwan_(Earth-616),Female,"5' 1""",101 lbs (46 kg),"Yellow Claw  #1(October, 1956)","October, 1956",1956,61,101,Suwan,Earth-616,Marvel,normal,"[' 28 Appearances of Suwan (Earth-616)\n', ' 1 Minor Appearances of Suwan (Earth-616)\n']",28,1,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a6/Agents_of_Atlas_Vol_2_10_Textless.jpg/revision/latest?cb=20090826210253,Jade Claw,Suwan,
http://marvel.wikia.com/wiki/Val_Ventura_(Earth-616),Male,"5' 2"" (Variable)",101 lbs (46 kg),"West Coast Avengers Vol 2  #46(July, 1989)","July, 1989",1989,62,101,Val Ventura,Earth-616,Marvel,under,"[' 44 Appearances of Val Ventura (Earth-616)\n', ' 2 Minor Appearances of Val Ventura (Earth-616)\n']",44,2,https://vignette.wikia.nocookie.net/marveldatabase/images/6/61/Val_Ventura_%28Earth-616%29_from_Great_Lakes_Avengers_Vol_2_3_001.jpg/revision/latest?cb=20170104235153,Flatman,Matt ,
http://marvel.wikia.com/wiki/Nico_Minoru_(Earth-12131),Female,"5' 4""",102 lbs (46 kg),"Marvel: Avengers Alliance(March 1, 2012)",1-Mar-12,2012,64,102,Nico Minoru,Earth-12131,Marvel,under,"[' 1 Appearances of Nico Minoru (Earth-12131)\n', '  Minor Appearances of Nico Minoru (Earth-12131)\n']",1, Minor Appearances of Nico,https://vignette.wikia.nocookie.net/marveldatabase/images/2/29/Nico_Minoru_%28Earth-12131%29_001.png/revision/latest?cb=20131128020155,Nico Minoru,Nico Minoru,
http://marvel.wikia.com/wiki/Nico_Minoru_(Earth-616),Female,"5' 4""",102 lbs (46 kg),"Runaways  #1(July, 2003)","July, 2003",2003,64,102,Nico Minoru,Earth-616,Marvel,under,"[' 135 Appearances of Nico Minoru (Earth-616)\n', ' 3 Minor Appearances of Nico Minoru (Earth-616)\n']",135,3 Minor Appearances of Nico,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Nico_Minoru_%28Earth-616%29_from_Runaways_Vol_5_1_Wada_Variant_cover.jpg/revision/latest?cb=20170913222706,Nico Minoru,Nico Minoru,
http://marvel.wikia.com/wiki/Nico_Minoru_(Earth-TRN012),Female,"5' 4""",102 lbs (46 kg),"Marvel Future Fight(April 30, 2015)",30-Apr-15,2015,64,102,Nico Minoru,Earth-TRN012,Marvel,under,"[' 1 Appearances of Nico Minoru (Earth-TRN012)\n', '  Minor Appearances of Nico Minoru (Earth-TRN012)\n']",1, Minor Appearances of Nico,https://vignette.wikia.nocookie.net/marveldatabase/images/7/7b/Nico_Minoru_%28Earth-TRN012%29_from_Marvel_Future_Fight_001.jpg/revision/latest?cb=20160630052453,Sister Grimm,Nico Minoru,
http://marvel.wikia.com/wiki/Katherine_Ling_(Earth-148611),Female,"5' 3""",103 lbs (47 kg),"Psi-Force  #1(November, 1986)","November, 1986",1986,63,103,Katherine Ling,Earth-148611,Marvel,under,"[' 33 Appearances of Katherine Ling (Earth-148611)\n', '  Minor Appearances of Katherine Ling (Earth-148611)\n']",33,0,https://vignette.wikia.nocookie.net/marveldatabase/images/9/95/Kathy_Ling_%28Earth-148611%29_from_Untold_Tales_of_the_New_Universe_Vol_1_2_001.jpg/revision/latest?cb=20151207093004,Shockwave,Katherine Ling,
http://marvel.wikia.com/wiki/Kristoff_Vernard_(Earth-616),Male,"4' 11"" (6'7"" in Armor)",103 lbs (47 kg),"Fantastic Four  #247(October, 1982)","October, 1982",1982,59,103,Kristoff Vernard,Earth-616,Marvel,normal,"[' 72 Appearances of Kristoff Vernard (Earth-616)\n', ' 1 Minor Appearances of Kristoff Vernard (Earth-616)\n']",72,1,https://vignette.wikia.nocookie.net/marveldatabase/images/d/dd/Kristoff_Vernard_%28Earth-616%29_from_New_Avengers_Vol_3_24_001.jpg/revision/latest?cb=20170129225648,Kristoff Vernard,Kristoff Vernard,
http://marvel.wikia.com/wiki/Phyla-Vell_(Earth-616),Female,"5' 9""",103 lbs (47 kg),"Captain Marvel Vol 5  #16(January, 2004) (as Phyla-Vell)Captain Marvel Vol 5  #19(March, 2004)(as Captain Marvel)Annihilation: Conquest - Quasar  #1(September, 2007)(as Quasar)Guardians of the Galaxy Vol 2  #12(May, 2009)(as Martyr)","May, 2009",2009,69,103,Phyla-Vell,Earth-616,Marvel,under,"[' 58 Appearances of Phyla-Vell (Earth-616)\n', ' 3 Minor Appearances of Phyla-Vell (Earth-616)\n']",58,3,https://vignette.wikia.nocookie.net/marveldatabase/images/7/74/Guardians_of_the_Galaxy_Vol_2_12_Textless.jpg/revision/latest?cb=20100402194559,Martyr,Phyla-Vell,
